BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01397,0.58,0.58,-,-,-,-,-,-,-,-,-,-,3,3.83,12,116,1.5,<5,>15,30,6,56,184,1.52,1.49,22.2,55,1.80,3826,60,0.53,47,0.03,3685,1.07,7,5.7,<10,310,0.15,205,19,16.3,9350,46.4,-,-,-
PAL01398,-,-,-,-,-,-,-,-,-,-,-,-,8,6.32,798,223,1.5,<5,4.08,22,545,109,4413,5.43,1.61,18.5,19,1.95,848,171,2.37,439,0.05,4002,0.66,366,19.1,61,178,0.65,136,<10,2.8,3915,118,-,-,-
PAL01399,0.55,0.55,-,-,-,-,-,-,-,-,-,-,>10,4.28,279,148,2.3,<5,>15,37,112,93,>10000,1.57,1.69,28.1,58,0.88,2728,215,0.57,140,0.06,7058,2.29,14,6.8,<10,325,0.18,754,24,18.4,>10000,54.5,66,3.15,1.25
PAL01400,0.00,0.00,-,-,-,-,-,-,-,-,-,-,>10,4.16,274,142,2.3,<5,>15,36,109,92,>10000,1.53,1.65,27.7,57,0.86,2684,211,0.55,137,0.06,7078,2.26,13,6.6,<10,315,0.17,735,23,17.8,>10000,56.1,67,3.17,1.22
PAL01401,0.57,0.57,-,-,-,-,-,-,-,-,-,-,>10,3.89,881,454,1.2,<5,5.41,3,23,14,7269,0.84,2.00,16.7,22,0.58,1696,11,1.13,15,0.03,146,1.61,6,2.2,<10,236,0.08,21,<10,10.0,494,41.3,15,-,-
PAL01402,0.52,0.52,-,-,-,-,-,-,-,-,-,-,2,3.59,40,633,1.1,<5,2.99,<1,3,10,594,0.36,2.11,14.6,24,0.23,520,2,1.13,7,0.03,25,1.05,<5,2.2,<10,292,0.08,16,<10,7.9,20,39.3,-,-,-
PAL01403,0.51,0.51,-,-,-,-,-,-,-,-,-,-,<2,3.34,52,458,1.0,<5,4.48,<1,3,8,531,0.54,1.99,12.4,21,0.25,792,2,0.76,5,0.02,24,1.18,<5,1.7,<10,247,0.05,14,<10,7.2,20,30.0,-,-,-
PAL01404,0.70,0.70,-,-,-,-,-,-,-,-,-,-,4,3.18,56,746,1.0,<5,6.54,<1,3,7,1017,0.51,2.06,10.3,24,1.75,4020,2,0.72,5,0.02,24,1.01,<5,1.5,<10,344,0.04,14,<10,8.6,19,28.3,-,-,-
PAL01405,0.97,0.97,-,-,-,-,-,-,-,-,-,-,<2,3.43,19,1166,1.0,<5,2.05,<1,2,11,159,0.46,2.57,6.5,28,0.33,793,1,0.65,5,0.03,19,0.25,<5,1.2,<10,258,0.04,12,<10,5.9,12,24.2,-,-,-
PAL01406,1.07,1.07,-,-,-,-,-,-,-,-,-,-,2,3.75,15,721,0.9,<5,4.20,<1,3,12,654,0.32,2.67,7.9,22,0.74,1521,2,0.75,4,0.03,22,1.34,<5,1.3,<10,259,0.03,12,<10,7.1,14,26.7,-,-,-
PAL01407,0.96,0.96,-,-,-,-,-,-,-,-,-,-,<2,3.61,17,998,0.8,<5,3.74,<1,3,16,353,0.61,2.54,9.2,23,0.89,1888,4,0.77,6,0.03,18,0.60,<5,1.5,<10,297,0.04,12,<10,8.8,11,30.5,-,-,-
PAL01408,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,4.08,9,918,0.9,<5,0.89,<1,1,8,7.1,0.26,2.93,6.2,23,0.26,280,<1,0.85,4,0.04,20,0.11,<5,1.0,<10,201,0.03,8,<10,5.4,10,24.7,-,-,-
PAL01409,0.97,0.97,-,-,-,-,-,-,-,-,-,-,<2,3.88,27,1064,0.9,<5,3.34,<1,3,16,10.3,0.66,2.71,10.1,26,0.68,1815,2,0.82,8,0.03,31,0.40,<5,1.5,<10,294,0.04,9,<10,8.8,12,29.0,-,-,-
PAL01410,0.82,0.82,-,-,-,-,-,-,-,-,-,-,<2,3.44,11,686,0.8,<5,5.52,<1,2,11,6.6,0.50,2.38,10.1,22,1.05,2460,1,0.72,4,0.03,19,0.47,<5,1.4,<10,215,0.04,9,<10,10.7,14,25.2,-,-,-
PAL01411,0.49,0.49,500.0,75.40,24.60,377.0,123.0,20.0,87.50,12.50,17.5,2.5,<2,4.31,10,555,1.2,<5,4.69,<1,3,20,4.4,0.83,2.51,12.3,29,0.34,1045,1,0.87,8,0.04,18,0.02,<5,2.2,<10,138,0.07,16,<10,10.7,16,33.3,-,-,-
PAL01412,0.62,0.62,-,-,-,-,-,-,-,-,-,-,<2,3.43,14,1695,0.7,<5,3.93,<1,3,11,6.4,0.55,2.41,8.1,32,0.71,1720,2,0.71,6,0.03,25,0.08,<5,0.9,<10,334,0.03,7,<10,10.2,17,19.1,-,-,-
PAL01413,0.77,0.77,-,-,-,-,-,-,-,-,-,-,<2,3.53,11,1777,0.9,<5,2.32,<1,4,15,1.8,0.69,2.72,7.0,29,0.27,488,2,0.81,7,0.03,21,0.05,<5,0.9,<10,316,0.03,8,<10,6.8,14,20.0,-,-,-
PAL01414,0.75,0.75,-,-,-,-,-,-,-,-,-,-,<2,3.41,51,799,0.9,<5,7.40,<1,10,7,5.2,0.36,2.21,15.3,26,0.17,850,13,0.82,9,0.03,21,0.10,<5,1.8,<10,244,0.05,11,<10,11.5,12,31.8,-,-,-
*DUP-PAL01414,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.48,52,838,1.0,<5,7.54,<1,10,7,4.8,0.35,2.29,14.4,27,0.17,864,14,0.83,9,0.03,19,0.10,<5,1.8,<10,251,0.05,11,<10,11.7,12,32.1,-,-,-
PAL01415,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,3.83,3,534,0.8,<5,5.25,<1,2,9,2.3,0.67,2.34,9.5,23,0.20,958,<1,0.99,8,0.04,21,0.02,<5,1.9,<10,145,0.06,14,<10,10.9,12,30.7,-,-,-
PAL01416,1.06,1.06,-,-,-,-,-,-,-,-,-,-,<2,4.22,3,482,1.0,<5,4.87,<1,2,10,3.7,0.62,2.47,11.6,26,0.25,1027,<1,1.09,9,0.05,20,0.01,<5,2.5,<10,145,0.07,15,<10,14.0,14,33.8,-,-,-
PAL01417,1.03,1.03,-,-,-,-,-,-,-,-,-,-,<2,3.97,<3,732,0.9,<5,2.55,<1,4,15,4.3,1.06,2.33,8.9,28,0.49,756,1,1.12,11,0.05,24,0.02,<5,1.9,<10,152,0.06,14,<10,10.5,19,31.5,-,-,-
PAL01418,1.18,1.18,-,-,-,-,-,-,-,-,-,-,<2,3.99,5,438,1.0,<5,5.14,<1,2,13,4.2,0.71,2.26,11.5,25,0.29,790,<1,1.07,7,0.05,20,0.01,<5,2.3,<10,138,0.07,17,<10,12.8,12,33.1,-,-,-
PAL01419,2.11,2.11,-,-,-,-,-,-,-,-,-,-,<2,3.78,3,506,0.9,<5,2.39,<1,3,17,3.8,1.13,2.24,9.1,25,0.36,477,<1,1.13,10,0.05,21,0.02,<5,2.2,<10,114,0.08,15,<10,9.4,16,37.3,-,-,-
PAL01420,1.91,1.91,-,-,-,-,-,-,-,-,-,-,<2,3.96,3,560,0.9,<5,1.85,<1,3,14,3.5,0.82,2.49,9.2,24,0.30,356,<1,1.27,10,0.05,15,0.03,<5,2.6,<10,122,0.08,16,<10,8.5,16,34.7,-,-,-
PAL01421,1.81,1.81,-,-,-,-,-,-,-,-,-,-,<2,3.57,<3,665,0.9,<5,1.06,<1,3,18,3.9,0.86,2.48,8.8,26,0.19,201,<1,1.36,9,0.05,35,0.13,<5,2.2,<10,173,0.09,16,<10,7.2,11,37.3,-,-,-
PAL01422,2.13,2.13,-,-,-,-,-,-,-,-,-,-,<2,3.60,<3,594,0.9,<5,1.81,<1,3,14,4.7,0.81,2.42,9.0,25,0.24,295,<1,1.30,11,0.05,40,0.12,<5,2.3,<10,163,0.08,18,<10,7.6,13,35.9,-,-,-
PAL01423,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,3.87,<3,476,0.9,<5,1.95,<1,3,15,4.5,1.07,2.29,9.5,24,0.37,401,1,1.22,11,0.04,14,0.04,<5,2.5,<10,110,0.09,17,<10,8.6,14,37.9,-,-,-
PAL01424,2.42,2.42,-,-,-,-,-,-,-,-,-,-,<2,1.13,<3,67,<0.5,<5,>15,<1,2,9,11.1,0.54,0.45,4.7,14,0.69,71,<1,0.04,5,0.01,9,>5,<5,1.7,<10,2266,0.04,12,<10,2.6,7,9.4,-,-,-
PAL01425,2.77,2.77,-,-,-,-,-,-,-,-,-,-,<2,0.86,4,75,<0.5,<5,>15,<1,2,7,4.1,0.42,0.33,4.0,11,0.60,59,<1,0.04,5,0.01,21,>5,<5,1.4,<10,3124,0.03,9,<10,2.2,6,7.9,-,-,-
PAL01426,2.06,2.06,-,-,-,-,-,-,-,-,-,-,<2,1.16,<3,83,<0.5,<5,>15,<1,2,7,6.4,0.50,0.43,5.9,14,0.52,57,<1,0.05,5,0.01,37,>5,<5,1.8,<10,2650,0.04,12,<10,3.0,7,11.4,-,-,-
PAL01427,2.31,2.31,-,-,-,-,-,-,-,-,-,-,<2,0.78,<3,61,<0.5,<5,>15,<1,<1,4,3.4,0.32,0.26,3.3,10,0.34,41,<1,0.04,3,<0.01,8,>5,<5,1.1,<10,2062,0.03,8,<10,1.6,4,7.2,-,-,-
PAL01428,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,1.63,3,112,<0.5,<5,>15,<1,2,10,2.5,0.70,0.61,8.3,23,0.67,79,1,0.09,8,0.02,44,>5,<5,2.6,<10,3231,0.06,17,<10,4.6,8,16.7,-,-,-
PAL01429,0.99,0.99,-,-,-,-,-,-,-,-,-,-,<2,1.58,<3,62,<0.5,<5,>15,<1,3,10,3.9,0.63,0.61,6.7,18,0.72,74,<1,0.08,14,0.02,6,>5,<5,2.4,<10,1143,0.06,17,<10,3.6,8,14.2,-,-,-
PAL01430,3.22,3.22,-,-,-,-,-,-,-,-,-,-,<2,0.24,<3,9,<0.5,<5,>15,<1,<1,3,1.2,0.09,0.07,1.9,16,0.54,24,7,0.06,2,<0.01,4,>5,<5,<0.5,<10,1890,<0.01,7,<10,0.7,2,2.8,-,-,-
PAL01431,2.61,2.61,500.0,75.80,24.20,379.0,121.0,20.0,87.00,13.00,17.4,2.6,<2,0.14,<3,5,<0.5,<5,>15,<1,<1,3,1.7,0.06,0.13,1.5,141,1.28,26,9,0.05,2,<0.01,24,>5,<5,<0.5,<10,1575,<0.01,11,<10,0.6,17,1.9,-,-,-
PAL01432,3.94,3.94,-,-,-,-,-,-,-,-,-,-,<2,0.10,<3,4,<0.5,<5,>15,<1,<1,2,0.8,0.04,0.10,1.1,112,1.52,30,2,0.04,1,<0.01,13,>5,<5,<0.5,<10,1401,<0.01,5,<10,<0.5,1,1.3,-,-,-
PAL01433,2.97,2.97,-,-,-,-,-,-,-,-,-,-,<2,0.30,<3,31,<0.5,<5,>15,<1,<1,3,1.3,0.09,0.11,2.6,95,1.70,43,4,0.05,2,<0.01,50,>5,<5,0.6,<10,1670,<0.01,7,<10,0.8,3,2.5,-,-,-
PAL01434,3.76,3.76,-,-,-,-,-,-,-,-,-,-,<2,0.14,<3,13,<0.5,<5,>15,<1,<1,2,1.3,0.06,0.07,1.2,53,0.68,17,7,0.04,2,<0.01,26,>5,<5,<0.5,<10,1851,<0.01,2,<10,<0.5,2,1.5,-,-,-
PAL01435,2.36,2.36,-,-,-,-,-,-,-,-,-,-,<2,0.28,<3,23,<0.5,<5,>15,<1,<1,3,1.7,0.11,0.12,1.9,61,1.23,31,6,0.05,2,<0.01,17,>5,<5,<0.5,<10,2360,0.01,8,<10,0.6,8,2.6,-,-,-
PAL01436,1.41,1.41,-,-,-,-,-,-,-,-,-,-,<2,0.63,<3,20,<0.5,<5,>15,<1,<1,3,1.6,0.49,0.19,3.8,10,12.8,694,<1,0.04,<1,<0.01,182,0.07,<5,0.6,<10,38.3,0.01,<2,<10,3.4,46,13.5,-,-,-
PAL01437,4.04,4.04,-,-,-,-,-,-,-,-,-,-,<2,0.20,<3,32,<0.5,<5,>15,<1,<1,3,17.6,0.08,0.09,1.7,24,1.97,33,<1,0.09,2,<0.01,10,>5,<5,<0.5,<10,1473,<0.01,2,<10,<0.5,6,2.3,-,-,-
PAL01438,3.11,3.11,-,-,-,-,-,-,-,-,-,-,<2,0.13,<3,22,<0.5,<5,>15,<1,<1,2,58.9,0.10,0.04,1.4,13,1.43,28,2,0.06,2,<0.01,99,>5,<5,<0.5,<10,1454,<0.01,<2,<10,<0.5,79,1.3,-,-,-
PAL01439,3.58,3.58,-,-,-,-,-,-,-,-,-,-,<2,0.11,<3,4,<0.5,<5,>15,<1,<1,2,1.2,0.05,0.04,1.3,12,1.82,27,2,0.07,<1,<0.01,15,>5,<5,<0.5,<10,1390,<0.01,2,<10,<0.5,2,1.2,-,-,-
PAL01440,3.60,3.60,-,-,-,-,-,-,-,-,-,-,<2,0.21,<3,10,<0.5,<5,>15,<1,<1,4,<0.5,0.07,0.07,2.1,14,1.63,22,3,0.08,2,<0.01,5,>5,<5,<0.5,<10,1516,<0.01,2,<10,1.2,2,1.8,-,-,-
PAL01441,3.03,3.03,-,-,-,-,-,-,-,-,-,-,<2,0.58,<3,30,<0.5,<5,>15,<1,1,5,1.4,0.25,0.23,3.1,36,6.12,60,1,0.17,3,<0.01,6,>5,<5,0.8,<10,2131,0.02,7,<10,1.8,4,6.4,-,-,-
*DUP-PAL01441,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,0.54,<3,29,<0.5,<5,>15,<1,<1,4,2.0,0.23,0.19,3.2,34,6.06,57,1,0.17,3,<0.01,6,>5,<5,0.7,<10,2104,0.02,7,<10,1.7,3,6.2,-,-,-
PAL01442,3.04,3.04,-,-,-,-,-,-,-,-,-,-,<2,0.17,<3,5,<0.5,<5,>15,<1,<1,2,1.3,0.08,0.07,1.3,12,1.60,22,4,0.08,3,<0.01,10,>5,<5,<0.5,<10,1630,<0.01,2,<10,<0.5,10,2.0,-,-,-
PAL01443,3.63,3.63,-,-,-,-,-,-,-,-,-,-,<2,0.29,<3,19,<0.5,<5,>15,<1,<1,3,2.4,0.13,0.11,2.0,19,3.92,41,3,0.11,2,<0.01,17,>5,<5,<0.5,<10,1877,0.01,4,<10,1.0,4,3.1,-,-,-
PAL01444,3.64,3.64,-,-,-,-,-,-,-,-,-,-,<2,0.27,<3,16,<0.5,<5,>15,<1,<1,3,1.8,0.11,0.11,2.0,17,2.87,38,<1,0.07,2,<0.01,8,>5,<5,<0.5,<10,1798,0.01,4,<10,0.7,2,2.8,-,-,-
PAL01445,1.98,1.98,-,-,-,-,-,-,-,-,-,-,<2,0.11,<3,6,<0.5,<5,>15,<1,<1,2,1.9,0.07,0.05,1.2,11,1.91,31,<1,0.05,2,<0.01,15,>5,<5,<0.5,<10,1492,<0.01,2,<10,<0.5,2,1.6,-,-,-
PAL01446,3.22,3.22,-,-,-,-,-,-,-,-,-,-,<2,0.10,<3,6,<0.5,<5,>15,<1,<1,2,1.2,0.05,0.04,1.3,8,0.95,25,<1,0.05,2,<0.01,24,>5,<5,<0.5,<10,1296,<0.01,<2,<10,<0.5,3,1.0,-,-,-
PAL01447,1.46,1.46,-,-,-,-,-,-,-,-,-,-,<2,0.19,<3,11,<0.5,<5,>15,<1,<1,2,4.1,0.08,0.05,1.4,7,0.88,60,<1,0.04,2,<0.01,43,>5,<5,<0.5,<10,1277,<0.01,<2,<10,<0.5,107,1.5,-,-,-
PAL01448,1.71,1.71,-,-,-,-,-,-,-,-,-,-,<2,0.67,<3,25,<0.5,<5,>15,<1,<1,2,2.8,0.51,0.18,4.6,10,12.2,691,<1,0.04,3,<0.01,67,0.08,<5,0.7,<10,43.4,0.01,<2,<10,3.6,133,10.6,-,-,-
PAL01449,0.65,0.65,-,-,-,-,-,-,-,-,-,-,<2,3.65,16,995,1.3,<5,>15,3,6,33,257,1.84,1.44,13.1,59,4.63,5600,<1,0.29,32,0.03,4461,1.47,6,5.6,<10,1114,0.15,42,<10,8.8,1069,39.8,-,-,-
PAL01450,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.27,171,16,1.0,<5,0.37,12,3,32,>10000,2.35,4.57,1.0,9,0.21,153,190,1.34,18,0.05,1414,1.25,<5,2.2,<10,32.3,0.07,16,<10,<0.5,2549,15.1,16,2.13,-
PAL01451,0.67,0.67,500.0,79.00,21.00,395.0,105.0,20.0,85.50,14.50,17.1,2.9,<2,1.66,8,98,0.5,<5,>15,2,4,13,32.7,0.89,0.64,10.7,29,2.30,5076,2,0.16,18,0.02,3187,1.19,<5,2.6,<10,463,0.07,20,<10,8.9,976,20.0,-,-,-
PAL01452,0.62,0.62,-,-,-,-,-,-,-,-,-,-,<2,2.07,7,87,0.6,<5,>15,<1,3,16,96.8,0.88,0.77,11.1,33,1.99,4665,1,0.21,17,0.02,3242,0.75,<5,3.1,<10,320,0.09,24,<10,8.4,309,27.0,-,-,-
PAL01453,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.11,8,91,0.6,<5,>15,<1,4,16,89.3,0.90,0.79,11.1,33,2.04,4764,1,0.22,18,0.02,3273,0.78,<5,3.2,<10,334,0.09,24,<10,8.5,315,27.4,-,-,-
PAL01454,0.55,0.55,-,-,-,-,-,-,-,-,-,-,<2,1.85,6,74,0.5,<5,>15,<1,3,14,126,0.86,0.64,11.2,29,1.67,4427,<1,0.24,14,0.02,2734,0.83,<5,2.8,<10,358,0.08,19,<10,8.4,100,26.0,-,-,-
PAL01455,0.44,0.44,-,-,-,-,-,-,-,-,-,-,<2,2.33,11,111,0.7,<5,>15,<1,4,17,123,1.01,0.83,11.8,34,1.81,4316,<1,0.29,18,0.03,2257,1.42,<5,3.5,<10,381,0.10,24,<10,9.1,32,31.6,-,-,-
PAL01456,0.79,0.79,-,-,-,-,-,-,-,-,-,-,<2,3.05,58,222,1.1,<5,>15,<1,7,20,234,1.08,1.20,12.6,47,0.95,2916,<1,0.25,22,0.03,332,0.57,<5,4.7,<10,534,0.13,31,<10,8.9,40,35.8,-,-,-
PAL01457,0.24,0.24,-,-,-,-,-,-,-,-,-,-,<2,2.34,82,169,1.0,<5,>15,<1,7,29,182,1.08,0.97,9.8,40,1.82,4008,<1,0.15,19,0.02,102,0.67,8,3.8,<10,474,0.09,25,<10,7.6,54,21.8,-,-,-
PAL01458,0.26,0.26,-,-,-,-,-,-,-,-,-,-,<2,2.64,86,391,1.0,<5,>15,<1,10,18,186,1.06,1.06,11.0,42,1.25,3303,<1,0.22,24,0.03,30,0.34,7,4.2,<10,616,0.11,28,<10,8.3,37,28.4,-,-,-
PAL01459,0.22,0.22,-,-,-,-,-,-,-,-,-,-,<2,2.73,52,512,1.0,<5,>15,<1,11,32,240,1.05,1.01,13.4,47,1.15,3312,6,0.36,22,0.03,40,0.32,<5,4.3,<10,476,0.12,28,<10,10.1,27,35.3,-,-,-
